verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link
true,Michelle Nunn,"In Georgia, Perdue’s company closed plants and moved jobs to China.",8/12/2014,advertisement,April Hunt,9/5/2014,https://www.politifact.com/factchecks/2014/sep/05/michelle-nunn/claim-about-perdues-former-firm-hits-mark/
false,John Stemberger,"Planned Parenthood has ""now (been) found to also illegally sell baby parts.""",9/22/2015,statement,Joshua Gillin,10/7/2015,https://www.politifact.com/factchecks/2015/oct/07/john-stemberger/planned-parenthood-has-been-found-illegally-sell-b/
mostly-false,Kelly Ayotte,"President Barack Obama’s Fiscal Year 2013 budget proposal ""couldn't get support from either party in the House or the Senate.""",12/2/2012,news,Jake Berry,12/16/2012,https://www.politifact.com/factchecks/2012/dec/17/kelly-ayotte/obamas-budget-was-flop-both-parties-says-kelly-ayo/
true,John Padgett,"Jason Carter backed three of Nathan Deal’s budgets but accuses the governor of ""underfunding education.""",8/12/2014,news,Nancy Badertscher,8/20/2014,https://www.politifact.com/factchecks/2014/aug/20/john-padgett/gop-chair-correct-carter-voted-3-4-deal-budgets/
true,Joe Scarborough,"Before ""our last three presidents, you have to go back to the 1800s, early 1800s to find three presidents in a row being consecutively re-elected.""",4/10/2014,television,Aaron Sharockman,4/10/2014,https://www.politifact.com/factchecks/2014/apr/10/joe-scarborough/how-rare-it-we-had-three-presidents-re-elected-con/
half-true,Kevin Flynn,"""There’s nothing in the [RhodeMap RI] plan that takes away local government control and local zoning control.""",11/25/2014,news,Katie Mulvaney,1/16/2015,https://www.politifact.com/factchecks/2015/jan/16/kevin-flynn/ri-planner-kevin-flynn-nothing-rhodemap-ri-plan-ta/
mostly-true,Bill Peduto,"""Fact: Hillary Clinton received 80% of the vote in Pittsburgh.""",6/1/2017,social_media,Sarah Anne Hughes,6/2/2017,https://www.politifact.com/factchecks/2017/jun/02/bill-peduto/did-80-percent-pittsburgh-really-vote-hillary-clin/
half-true,Team PAC,"Eric Schmitt ""sponsored a bill to spend $480 million of your tax dollars"" on cargo hub for airlines ""owned by China's Communist Party"" and ""voted to let China buy up Missouri farmland.""",2/7/2022,advertisement,Tom Kertscher,2/9/2022,https://www.politifact.com/factchecks/2022/feb/09/team-pac/race-open-us-senate-seat-missouri-fact-checking-pa/
half-true,Mike DeWine,"""Since the time of the Civil War, we've made a distinction in this country between the availability and the ability to access for people who were in the military, versus the rest of us, to vote.""",8/31/2012,news,Aaron Marshall,10/1/2012,https://www.politifact.com/factchecks/2012/oct/01/mike-dewine/special-voting-access-military-nothing-new-dates-c/
mostly-true,Lee Fisher,"Rob Portman has taken more than $125,000 from ""Big Oil.""",6/16/2010,news,Stephen Koff,8/6/2010,https://www.politifact.com/factchecks/2010/aug/06/lee-fisher/lee-fisher-accuses-rob-portman-taking-big-contribu/
half-true,NARAL Pro-Choice Virginia,"""One in three American women will have had an abortion by the time she reaches the age of 45.""",5/16/2016,blog,Sean Gorman,5/23/2016,https://www.politifact.com/factchecks/2016/may/23/naral-pro-choice-america/flawed-naral-virginia-claim-1-3-women-will-have-ab/
half-true,Kip Kendrick,"""Requiring photo ID would keep about 200,000 Missourians from voting.""",2/4/2016,speech,Katie Moeller,3/21/2016,https://www.politifact.com/factchecks/2016/mar/21/kip-kendrick/rep-kip-kendrick-half-right-voter-id-statement/
true,Jonathan Jarvis,"The National Park Service has ""an annual budget that is less than the city of Austin.""",6/14/2016,testimony,W. Gardner Selby,6/24/2016,https://www.politifact.com/factchecks/2016/jun/24/jonathan-jarvis/national-park-service-director-correct-its-budget-/
false,Instagram posts,"Says Donald Trump posed as an anonymous ""Nevada poll worker"" on Laura Ingraham’s show.",11/11/2020,social_media,Ciara O'Rourke,11/13/2020,https://www.politifact.com/factchecks/2020/nov/13/instagram-posts/no-trump-didnt-pose-poll-worker-laura-ingrahams-sh/
false,Debbie Wasserman Schultz,"By advocating new requirements for voters to show ID cards at the polls, Republicans ""want to literally drag us all the way back to Jim Crow laws.""",6/5/2011,news,Louis Jacobson,6/9/2011,https://www.politifact.com/factchecks/2011/jun/09/debbie-wasserman-schultz/debbie-wasserman-schultz-compares-gop-backed-votin/
mostly-true,Chris Koster,"""Since 2001, higher education in the state has been cut or allowed to erode ... by 35 or 40 percent.""",8/20/2015,speech,Adam Aton,10/23/2015,https://www.politifact.com/factchecks/2015/oct/23/chris-koster/koster-mostly-right-about-erosion-higher-education/
mostly-false,Ron DeSantis,"""I’ve already traveled to Washington, D.C., and secured a historic commitment from the Trump administration to provide assistance to the communities that Michael battered.""",3/5/2019,speech,Amy Sherman,3/7/2019,https://www.politifact.com/factchecks/2019/mar/07/ron-desantis/did-florida-gov-ron-desantis-get-historic-commitme/
false,Bart Stupak,"In the Senate version of the health reform bill, ""Every enrollee in the Office of Personnel Management enrolled plan, every enrollee has to pay a minimum of $1 per month towards reproductive rights, which includes abortion.""",3/4/2010,news,Robert Farley,3/10/2010,https://www.politifact.com/factchecks/2010/mar/11/bart-stupak/stupak-says-every-enrollee-office-personnel-manage/
true,Barack Obama,"The United States has ""one of the highest corporate tax rates in the world.""",1/25/2011,speech,Louis Jacobson,1/25/2011,https://www.politifact.com/factchecks/2011/jan/26/barack-obama/barack-obama-state-union-says-us-corporate-tax-rat/
half-true,Donald Trump,"""At the end of 2016, there were 23 percent fewer federal prosecutions than in 2011, so (prosecutors) looked at this scourge (opioid deaths) and they let it go by.""",8/8/2017,other,Amy Sherman,8/9/2017,https://www.politifact.com/factchecks/2017/aug/09/donald-trump/trump-blames-obama-decline-federal-drug-prosecutio/
mostly-false,Jack Posobiec,"Says Donald ""Trump decided to *not* work with Cambridge Analytica during the election.""",3/20/2018,social_media,Jon Greenberg,3/21/2018,https://www.politifact.com/factchecks/2018/mar/21/jack-posopiec/trump-campaign-used-cambridge-analytica-final-mont/
false,George Allen,"""Tim Kaine announced he wants to raise taxes on everyone.""",9/20/2012,news,Nancy Madsen,9/24/2012,https://www.politifact.com/factchecks/2012/sep/24/george-allen/george-allen-says-tim-mkaine-announced-he-wants-ra/
mostly-false,Bike Austin,"""Bike lanes and sidewalks have been proven to reduce crashes by up to 38 percent on Austin’s streets.""",6/8/2016,news,Jane Wester,7/29/2016,https://www.politifact.com/factchecks/2016/jul/29/bike-austin/bike-austin-says-bike-lanes-sidewalks-reduce-austi/
mostly-true,Chris Jacobs,"Says Nate McMurray said that ""gun owners are part of the most insecure and dangerous club on earth,"" that ""the NRA are homegrown terrorists,"" and that ""abortion opponents are the American Taliban.""",6/13/2020,speech,Meghan Hall,6/18/2020,https://www.politifact.com/factchecks/2020/jun/18/chris-jacobs/fact-checking-claims-chris-jacobs-nate-mcmurray-de/
true,Scott Walker,"Wisconsin property taxes, as a percentage of personal income, ""are the lowest that they've been since the end of World War II.""",1/10/2017,speech,Tom Kertscher,1/13/2017,https://www.politifact.com/factchecks/2017/jan/13/scott-walker/scott-walker-says-wisconsin-property-taxes-percent/
mostly-false,Marco Rubio,"Under Obamacare, people who ""have a doctor they’ve been seeing for the last 15 or 20 years, they won’t be able to keep going to that doctor.""",7/31/2013,news,Amy Sherman,8/5/2013,https://www.politifact.com/factchecks/2013/aug/05/marco-rubio/marco-rubio-says-patients-wont-keep-doctors-obamac/
pants-fire,Donald Trump,"After the U.S.-led military alliance ejected Saddam Hussein’s forces from Kuwait in 1991, the Kuwaitis ""never paid us.""",4/27/2011,news,Louis Jacobson,4/27/2011,https://www.politifact.com/factchecks/2011/apr/27/donald-trump/donal-trump-says-kuwait-never-paid-us-back-ousting/
false,Instagram posts,"""California has a personal belief exemption to any new vaccine added to the schedule after June 2015 for public and private daycare, preschool and K-12.""",6/21/2021,social_media,Sasha Hupka,7/23/2021,https://www.politifact.com/factchecks/2021/jul/23/instagram-posts/no-california-does-not-have-personal-belief-exempt/
mostly-true,Bernie Sanders,"""Every other major country"" has family paid leave.",10/14/2015,television,Amy Sherman,10/14/2015,https://www.politifact.com/factchecks/2015/oct/14/bernie-sanders/bernie-sanders-says-every-other-major-country-has-/
pants-fire,Sean Spicer,"""In the last three years alone, 13 times, the Supreme Court, unanimously, 9-0, including all of the president's liberal picks, have struck down the president's executive orders.""",7/6/2014,television,Steve Contorno,7/9/2014,https://www.politifact.com/factchecks/2014/jul/09/sean-spicer/gop-spokesman-says-supreme-court-unanimously-ruled/
pants-fire,Facebook posts,"Says Facebook now has a ""witch checker.""",10/7/2019,social_media,Samantha Putterman,10/11/2019,https://www.politifact.com/factchecks/2019/oct/11/facebook-posts/viral-posts-about-facebook-witch-checker-just-bunc/
false,Viral image,"Says Ted Cruz tweeted, ""I’ll believe in climate change when Texas freezes over.""",2/19/2021,social_media,Ciara O'Rourke,2/19/2021,https://www.politifact.com/factchecks/2021/feb/19/viral-image/no-ted-cruz-didnt-tweet-hed-believe-climate-change/
mostly-false,Rush Limbaugh,"Sotomayor ""ruled against the white firefighter — Ricci and other white firefighters — just on the basis that she thought women and minorities should be given a preference because of their skin color and because of the history of discrimination in the past. The law was totally disregarded.""",5/26/2009,radio,Robert Farley,5/28/2009,https://www.politifact.com/factchecks/2009/may/28/rush-limbaugh/rush-limbaugh-says-sotomayor-disregarded-law-rule-/
pants-fire,Facebook posts,"The death of George Floyd was a ""staged event.""",5/28/2020,blog,Daniel Funke,5/29/2020,https://www.politifact.com/factchecks/2020/may/29/facebook-posts/conspiracy-theory-falsely-claims-george-floyds-dea/
false,Facebook posts,"""Trump is addressing to the nation today.""",6/27/2022,social_media,Ciara O'Rourke,6/28/2022,https://www.politifact.com/factchecks/2022/jun/28/facebook-posts/trump-didnt-give-address-nation-june-27/
false,Facebook posts,"Prominent Democrats were born in April 1948, ""nine months after"" a UFO crashed near Roswell, N.M.",4/17/2019,social_media,Madison Czopek,5/7/2020,https://www.politifact.com/factchecks/2020/may/07/facebook-posts/roswell-post-fudges-facts-democrats-birthdays/
true,Yard sign,"Says President Obama ""has fired more cruise missiles than all other Peace Prize winners combined.""",6/15/2011,other,John Gregg,6/30/2011,https://www.politifact.com/factchecks/2011/jun/30/yard-sign/yard-sign-claims-barack-obama-has-fired-more-cruis/
mostly-false,Newt Gingrich,"""Romney signed government-mandated health care with taxpayer-funded abortions.""",1/10/2012,advertisement,Molly Moorhead,1/19/2012,https://www.politifact.com/factchecks/2012/jan/20/newt-gingrich/gingrich-ad-says-mitt-romney-enacted-taxpayer-fund/
true,Rick Perry,Says there have been 50 million abortions since Roe v. Wade was decided.,1/22/2011,speech,Meghan Ashford-Grooms,2/1/2011,https://www.politifact.com/factchecks/2011/feb/01/rick-perry/rick-perry-says-there-have-been-50-million-abortio/
mostly-true,Adam Putnam,"""All the money the Department of Citrus has is paid for by the citrus growers. You don't save dollars by eliminating the Department of Citrus.""",1/19/2011,news,Amy Sherman,2/4/2011,https://www.politifact.com/factchecks/2011/feb/04/adam-putnam/adam-putnam-says-citrus-department-doesnt-use-stat/
false,Rick Scott,"Says Bill Nelson ""voted against requiring Iran to recognize Israel and release American hostages.""",4/30/2018,news,Allison Graves,5/4/2018,https://www.politifact.com/factchecks/2018/may/04/rick-scott/gov-rick-scott-attack-mischaracterizes-vote-sen-bi/
mostly-false,Marsha Blackburn,"Says her congressional district has 10,000 medical-device industry jobs and 1,000 will be lost because of health-care law tax.",6/7/2012,other,Bartholomew Sullivan,6/17/2012,https://www.politifact.com/factchecks/2012/jun/17/marsha-blackburn/marsha-blackburn-says-health-care-law-will-lead-lo/
false,Facebook posts,"""At 17 years old Kyle (Rittenhouse) was perfectly legal to be able to possess that rifle without parental supervision.""",8/27/2020,social_media,Daniel Funke,8/28/2020,https://www.politifact.com/factchecks/2020/aug/28/facebook-posts/did-kyle-rittenhouse-break-law-carrying-assault-st/
mostly-true,Kendra Fershee,"""Poverty in WV is more than 5% higher than the national average.""",9/19/2018,social_media,Jamie Green,11/1/2018,https://www.politifact.com/factchecks/2018/nov/01/kendra-fershee/west-virginia-poverty-5-higher-us-whole/
pants-fire,Viral image,"Says photos show the Trump-Ukraine whistleblower with Chuck Schumer, Elizabeth Warren, Nancy Pelosi and Hillary Clinton.",11/9/2019,social_media,Ciara O'Rourke,11/14/2019,https://www.politifact.com/factchecks/2019/nov/14/viral-image/s-not-whistleblower-posing-democratic-politicians-/
mostly-false,Rick Scott,"""All Aboard Florida is a 100 percent private venture. There is no state money involved.""",6/30/2014,news,Amy Sherman,8/7/2014,https://www.politifact.com/factchecks/2014/aug/07/rick-scott/rick-scott-says-all-aboard-100-private-venture-and/
mostly-false,Joe Biden,"""$400,000 ... is more money than I’ve ever made"" in a year.",9/9/2020,other,Louis Jacobson,9/10/2020,https://www.politifact.com/factchecks/2020/sep/10/joe-biden/fact-checking-joe-bidens-claim-about-his-own-incom/
mostly-true,Mitch McConnell,"If Obama's economic plan creates 600,000 new government jobs, ""that's about the size of the post office work force.""",1/4/2009,news,Angie Drobnic Holan,1/5/2009,https://www.politifact.com/factchecks/2009/jan/05/mitch-mcconnell/postal-service-employs-just-over-600000/
pants-fire,Donald Trump,"The number of illegal immigrants ""could be 3 million. It could be 30 million.""",8/31/2016,speech,Linda Qiu,9/1/2016,https://www.politifact.com/factchecks/2016/sep/01/donald-trump/donald-trump-repeats-pants-fire-claim-about-30-mil/
false,Joe Biden,"""General Motors is the largest corporation in the world again.""",4/1/2012,news,Becky Bowers,4/9/2012,https://www.politifact.com/factchecks/2012/apr/09/joe-biden/vice-president-joe-biden-says-general-motors-large/
true,Brett Hulsey,"The Republican-controlled Wisconsin Assembly approved ""only one out of 376 amendments offered by Assembly Democrats"" in 2011.",8/27/2011,news,Tom Kertscher,9/11/2011,https://www.politifact.com/factchecks/2011/sep/11/brett-hulsey/wisconsin-rep-brett-hulsey-says-only-one-376-bill-/
pants-fire,Facebook posts,"""A grand jury trial begins into crimes against humanity"" involving a fabricated coronavirus pandemic.",2/6/2022,social_media,Monique Curet,2/10/2022,https://www.politifact.com/factchecks/2022/feb/10/facebook-posts/viral-video-simulation-does-not-depict-real-grand-/
mostly-false,Wisconsin Republican Legislative leaders,"Wisconsin is ""clearly seeing a decline in COVID infections""",4/21/2020,statement,Eric Litke,4/21/2020,https://www.politifact.com/factchecks/2020/apr/21/wisconsin-republican-legislative-leaders/no-wisconsin-not-clearly-seeing-decline-covid-case/
true,Sheldon Whitehouse,"The United States ""decided waterboarding was torture back when we court-martialed American soldiers for waterboarding Philippine insurgents in the Philippine revolution.""",12/14/2014,news,C. Eugene Emery Jr.,12/23/2014,https://www.politifact.com/factchecks/2014/dec/23/sheldon-whitehouse/sen-sheldon-whitehouse-says-us-soldiers-have-been-/
mostly-true,Rand Paul,"""There's never been a direct Supreme Court case on people who were here illegally, whether or not their kids are citizens.""",9/16/2015,speech,Louis Jacobson,9/18/2015,https://www.politifact.com/factchecks/2015/sep/18/rand-paul/rand-paul-says-legality-birthright-citizenship-not/
half-true,Kevin Cahill,"Abortion in the U.S. ""is at an all time legal low.""",10/11/2017,radio,Dan Clark,10/25/2017,https://www.politifact.com/factchecks/2017/oct/25/kevin-cahill/abortion-all-time-low-us/
false,Facebook posts,"""California store owner prices all items at $951 so thieves can be prosecuted.""",12/14/2021,social_media,Samantha Putterman,12/15/2021,https://www.politifact.com/factchecks/2021/dec/15/facebook-posts/story-about-california-store-owner-pricing-items-9/
half-true,Club for Growth,"Says Beto O’Rourke did his father-in-law’s ""bidding on the El Paso City Council, pushing a downtown redevelopment scheme to bulldoze a poor Hispanic neighborhood while enriching developers like his father-in-law.""",3/10/2019,advertisement,Madlin Mekelburg,3/14/2019,https://www.politifact.com/factchecks/2019/mar/14/club-growth/did-beto-orourke-plan-el-paso-bulldoze-communit/
pants-fire,Facebook posts,"Says the pens Nancy Pelosi used to sign the articles of impeachment cost ""$2,025 per pen.""",1/16/2020,social_media,Ciara O'Rourke,1/17/2020,https://www.politifact.com/factchecks/2020/jan/17/facebook-posts/no-nancy-pelosis-impeachment-pens-didnt-cost-2025-/
false,Ed Gillespie,"""More businesses are closing than opening in Virginia today.""",1/13/2016,social_media,Warren Fiske,2/1/2016,https://www.politifact.com/factchecks/2016/feb/01/ed-gillespie/gillespie-says-more-businesses-are-closing-opening/
mostly-true,Donald Trump,"Marco Rubio ""has the No. 1 absentee record in the United States"" Senate.",3/3/2016,speech,Lauren Carroll,3/3/2016,https://www.politifact.com/factchecks/2016/mar/04/donald-trump/donald-trump-right-marco-rubio-has-worst-senate-vo/
mostly-true,Greg Abbott,"Says he's arrested more criminals, ""including thousands of child predators and sex offenders,"" than any previous Texas attorney general.",10/13/2010,campaign,Meghan Ashford-Grooms,11/11/2010,https://www.politifact.com/factchecks/2010/nov/11/greg-abbott/texas-ag-greg-abbott-says-hes-arrested-more-crimin/
pants-fire,Facebook posts,"Says the names of CNN anchors Chris Cuomo, Brian Stelter and Jake Tapper were on the flight logs of Jeffrey Epstein’s private plane.",7/26/2019,social_media,Samantha Putterman,7/29/2019,https://www.politifact.com/factchecks/2019/jul/29/facebook-posts/no-names-cnn-anchors-were-not-epstein-flight-logs/
mostly-false,Alex Azar,"""First off, it’s in statute already in HIPAA that preexisting conditions are covered.""",7/9/2020,news,Julie Rovner,7/14/2020,https://www.politifact.com/factchecks/2020/jul/14/alex-azar/azar-says-federal-law-had-preexisting-conditions-c/
mostly-false,Dan Patrick,"Says the 2014-15 state budget ""cut border security and funding to fight criminal gangs.""",6/27/2013,campaign,Sue Owen,8/2/2013,https://www.politifact.com/factchecks/2013/aug/02/dan-patrick/dan-patrick-says-2014-15-state-budget-cut-border-s/
pants-fire,Democratic Party of Wisconsin,"Says Gov. Scott Walker ""has been rated America’s most factually-challenged politician.""",3/17/2015,blog,Tom Kertscher,3/27/2015,https://www.politifact.com/factchecks/2015/mar/27/state-democratic-party-wisconsin/has-scott-walker-been-rated-most-factually-challen/
false,Facebook posts,"Says Coca-Cola CEO James Quincey said, ""A few right winged nuts won’t affect our bottom line.""",2/23/2021,social_media,Ciara O'Rourke,2/24/2021,https://www.politifact.com/factchecks/2021/feb/24/facebook-posts/no-coca-colas-ceo-didnt-say-about-conservatives/
mostly-true,Barack Obama,"The Senate bill ""hands enormous tax cuts to the rich and to the drug and insurance industries, paid for by cutting health care for everybody else.""",6/22/2017,social_media,John Kruzel,6/26/2017,https://www.politifact.com/factchecks/2017/jun/26/barack-obama/obama-blasts-gop-senate-bill-tax-cut-rich-health-c/
mostly-false,Newsflash,"""Trump’s DHS secretary confirms they are preparing to arrest sanctuary city leaders.""",6/13/2018,blog,Miriam Valverde,6/13/2018,https://www.politifact.com/factchecks/2018/jun/13/newsflash/website-misleads-about-arrests-sanctuary-cit/
mostly-false,Marco Rubio,"""It has been over 80 years since a lame-duck president appointed a Supreme Court justice.""",2/13/2016,speech,Amy Sherman,2/14/2016,https://www.politifact.com/factchecks/2016/feb/14/marco-rubio/rubio-exaggerates-sayig-its-been-80-years-lame-duc/
mostly-true,Barbara Boxer,"""Since 1995, the top 400 wealthiest families have seen their incomes go up 400 percent and their tax rates go down 40 percent.""",9/20/2011,news,Louis Jacobson,9/21/2011,https://www.politifact.com/factchecks/2011/sep/21/barbara-boxer/barbara-boxer-says-400-richest-taxpayers-saw-incom/
mostly-true,Facebook posts,"Says Hillary Clinton’s top 10 donors are mainly ""banks, corporations and media,"" while Bernie Sanders’ top 10 donors are labor unions.",7/6/2015,social_media,Louis Jacobson,7/7/2015,https://www.politifact.com/factchecks/2015/jul/07/facebook-posts/meme-says-hillary-clintons-top-donors-are-banks-an/
false,Dennis Kucinich,"The default rate for college students has grown from 40 percent 10 years ago to about 50 percent today, and ""perhaps as many as 800,000 young Ohioans are facing default on their student loans.""",1/29/2018,campaign,Amy Sherman,3/20/2018,https://www.politifact.com/factchecks/2018/mar/20/dennis-kucinich/ohio-governors-race-dennis-kucinich-misleads-about/
true,Texas Democratic Party,"Says Republican U.S. Senate candidate Ted Cruz ""opposes the DREAM Act, which is supported by 85% of Latinos.""",2/3/2012,news,Meghan Ashford-Grooms,2/21/2012,https://www.politifact.com/factchecks/2012/feb/21/texas-democratic-party/texas-democratic-party-says-ted-cruz-opposes-dream/
pants-fire,Wawa Welcome America,"""The Wawa Welcome America festival (features) . . . America's largest free concert.""",4/13/2017,news,Jordan Gunselman,4/21/2017,https://www.politifact.com/factchecks/2017/apr/21/wawa-welcome-america/pants-fire/
mostly-false,Facebook posts,Says Nancy Pelosi on Aug. 31 blocked members of Congress from reading aloud on the House floor the names of the 13 U.S. service members killed in Afghanistan.,8/31/2021,social_media,Gabrielle Settles,9/9/2021,https://www.politifact.com/factchecks/2021/sep/09/facebook-posts/nancy-pelosi-didnt-block-members-reading-service-m/
mostly-true,Bernie Sanders,"""I have a D-minus voting record from the NRA.""",1/19/2016,speech,Katie Sanders,1/20/2016,https://www.politifact.com/factchecks/2016/jan/20/bernie-sanders/bernie-sanders-nra-report-card-d-minus-most-recent/
mostly-false,Vicky Hartzler,"""We have less Americans working now than in the ’70s.""",3/24/2016,news,Conner Smith,3/25/2016,https://www.politifact.com/factchecks/2016/mar/26/vicky-hartzler/rep-hartzler-ignores-critical-facts-about-workforc/
false,Facebook posts,"""Biden and Obama allowed grown men in restrooms with little girls. Trump has rescued over 300 missing children from (pedophiles) and perverts.""",9/16/2020,social_media,Madison Czopek,10/2/2020,https://www.politifact.com/factchecks/2020/oct/02/facebook-posts/post-paints-false-picture-biden-trump-and-child-sa/
half-true,Mitt Romney,"""More Hispanics have fallen into poverty under Obama.""",6/5/2012,advertisement,Molly Moorhead,6/8/2012,https://www.politifact.com/factchecks/2012/jun/08/mitt-romney/romney-ad-says-more-hispanics-are-poverty-obama-to/
mostly-false,Democrats Rising,"""Trump vows to end winter heating assistance for elderly and disabled.""",11/26/2017,news,Amy Sherman,1/3/2018,https://www.politifact.com/factchecks/2018/jan/03/democrats-rising/headline-misleads-about-trumps-budget-proposal-and/
false,Viral image,"Photo shows ""Chuck Schumer kissing this child on Epstein island!""",7/17/2020,social_media,Ciara O'Rourke,7/18/2020,https://www.politifact.com/factchecks/2020/jul/18/viral-image/photo-man-kissing-child-absolutely-not-senator/
half-true,Mickie Williams,"Clayton County has employed 1,300 people over the past seven months through the Neighborhood Stabilization Program.",9/7/2010,other,Eric Stirgus,9/14/2010,https://www.politifact.com/factchecks/2010/sep/14/mickie-williams/clayton-officials-say-housing-program-has-employed/
false,Ainsley Earhardt,"""It’s actually the safest time to fly.""",3/13/2020,other,Daniel Funke,3/13/2020,https://www.politifact.com/factchecks/2020/mar/13/ainsley-earhardt/fox-friends-host-says-now-safest-time-fly-its-not/
half-true,John McKeon,"Says ""the governor took away a billion dollars of rebates, so in real dollars, our property taxes have gone up 20 percent.""",3/4/2012,news,Bill Wichert,3/19/2012,https://www.politifact.com/factchecks/2012/mar/19/john-mckeon/chris-christie-cut-1-billion-rebates-leading-20-pe/
mostly-false,Facebook posts,"Says President Barack Obama's acceptance of an ""Islamic order and gold medal"" was ""unconstitutional.""",3/27/2014,social_media,Louis Jacobson,4/1/2014,https://www.politifact.com/factchecks/2014/apr/01/facebook-posts/meme-says-barack-obamas-acceptance-islamic-order-a/
mostly-false,Children's Defense Fund-Texas,"""In the last 24 months, 10 rural Texas hospitals have been forced to shut their doors because state leaders"" chose not to expand Medicaid.",4/28/2015,news,W. Gardner Selby,5/15/2015,https://www.politifact.com/factchecks/2015/may/15/childrens-defense-fund-texas/childrens-defense-fund-texas-says-texas-failure-ex/
false,Viral image,"Says Donald Trump said, ""Alec Baldwin, a total loser, has taken his impression of me to a new low by testing out this theory"" by shooting someone.",10/27/2021,social_media,Ciara O'Rourke,10/28/2021,https://www.politifact.com/factchecks/2021/oct/28/viral-image/fake-donald-trump-statement-about-alec-baldwin-spr/
false,Mike Kelly,"Says Joe Biden proposed ""killing over 600,000 jobs supported by fracking.""",7/14/2020,campaign,Jessica Calefati,7/21/2020,https://www.politifact.com/factchecks/2020/jul/21/mike-kelly/no-joe-biden-doesnt-want-ban-fracking-or-kill-penn/
half-true,Instagram posts,"""Mayo Clinic study shows Pfizer vaccine dropped to 42% effective.""",8/12/2021,social_media,Tom Kertscher,8/17/2021,https://www.politifact.com/factchecks/2021/aug/17/instagram-posts/claim-pfizer-covid-19-vaccine-42-effective-leaves-/
mostly-true,Antonio Villaraigosa,"""In the eight years that I was mayor, (there was a) nearly 50 percent drop in violent crime, gang crime — crime went down because we grew our police department, we focused on constitutional community policing, we did some of the most innovative prevention, intervention, job re-entry programs in the nation.""",7/31/2017,news,Chris Nichols,10/18/2017,https://www.politifact.com/factchecks/2017/oct/18/antonio-villaraigosa/did-las-violent-crime-drop-nearly-half-during-vill/
half-true,John Hickenlooper,"After legalizing marijuana in Colorado, ""we haven't seen a spike in consumption.""",3/20/2019,television,Louis Jacobson,3/25/2019,https://www.politifact.com/factchecks/2019/mar/25/john-hickenlooper/did-spike-marijuana-use-colorado-after-legal/
true,Charlie Crist,"Says Rick Scott ""didn’t even come to his own education summit. But he did take time to go to the tea party convention the same week.""",11/4/2013,speech,Katie Sanders,11/4/2013,https://www.politifact.com/factchecks/2013/nov/04/charlie-crist/charlie-crist-says-rick-scott-skipped-out-educatio/
half-true,Martina Navratilova,"""In 29 states in this country you can still get fired for not just being gay, but if your employer thinks you are gay.""",5/5/2013,news,Louis Jacobson,5/7/2013,https://www.politifact.com/factchecks/2013/may/07/martina-navratilova/martina-navratilova-says-you-can-be-fired-being-ga/
pants-fire,Democratic Party of Wisconsin,"When asked by a reporter whether he’s at the center of a ""criminal scheme"" to violate campaign laws, Gov. Scott Walker nodded yes.",6/24/2014,social_media,Dave Umhoefer,6/27/2014,https://www.politifact.com/factchecks/2014/jun/27/state-democratic-party-wisconsin/democratic-party-video-ad-scott-walker-nods-yes-wh/
true,Greg Abbott,Says a highway was closed in El Paso because of bullets flying across the border.,8/26/2010,news,Meghan Ashford-Grooms,9/1/2010,https://www.politifact.com/factchecks/2010/sep/01/greg-abbott/ag-greg-abbott-says-el-paso-highway-was-closed-bec/
mostly-true,Brigid Shea,"In ""the past 10 years, our (Austin) water rates have increased by 100 percent and we now have the highest water cost of the top 10 cities in Texas.""",3/5/2012,news,W. Gardner Selby,4/4/2012,https://www.politifact.com/factchecks/2012/apr/04/brigid-shea/brigid-shea-says-austin-water-rates-doubled-decade/
mostly-true,Grady Judd,"Florida’s proposed amendment for medical marijuana would allow ""people who alleged minor ailments such as muscle spasms, neck pain, back pain and even menstrual cramps (to qualify) for government-sanctioned pot-smoking.""",11/19/2013,speech,Julie Kliegman,11/25/2013,https://www.politifact.com/factchecks/2013/nov/25/grady-judd/medical-marijuana-easy-get-under-proposed-florida-/
true,Richard August,"Deer baiting, planned for Block Island by DEM, is illegal in Rhode Island.",1/12/2014,speech,C. Eugene Emery Jr.,1/26/2014,https://www.politifact.com/factchecks/2014/jan/26/richard-august/gun-commentator-says-technique-rhode-island-plans-/
false,Mark Batinick,"Says California has ""30% or a third of the country’s people living at or below the poverty level.""",10/8/2019,radio,Kiannah Sepeda-Miller,10/20/2019,https://www.politifact.com/factchecks/2019/oct/20/mark-batinick/no-30-nations-poor-dont-reside-california/
half-true,Thom Tillis,Says Democratic opponents Cal Cunningham and Erica Smith support sanctuary policies.,1/10/2020,email,Paul Specht,1/22/2020,https://www.politifact.com/factchecks/2020/jan/22/thom-tillis/thom-tillis-says-cunningham-and-smith-support-sanc/
true,America's Health Insurance Plans,"""Health insurance companies' costs are only 4 percent of all health care spending.""",3/11/2010,advertisement,Louis Jacobson,3/12/2010,https://www.politifact.com/factchecks/2010/mar/12/americas-health-insurance-plans/health-insurers-get-small-percentage-overall-healt/
